src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,127.0.0.1,40960,64928,,,6,2022-11-28 16:10:21,30059890.0,4587.84113980457,0.6320715079130362,0.6320715079130362,0.0,19,0,137910,0,34257.0,52.0,7258.421052631579,13942.008181696929,0.0,0.0,0.0,0.0,34257,52,7258.421052631579,13942.008181696929,194379592.13850412,380,0,20,10,1669993.888888889,8920464.0,59.0,3207918.8538239915,30059890.0,8920464.0,59.0,1669993.888888889,3207918.8538239915,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,7258.421052631579,512,0,7740358.0,7640703.0,7690530.5,49827.5,8667213.0,7768485.0,8100508.333333333,402686.39630803966,0.0,0.0,0.0,0.0,0.0,0.0,7258.421052631579,0.0,0,19,0,137910,0
10.0.2.15,127.0.0.1,54750,9200,,,6,2022-11-28 16:10:21,35979998.0,4719.733447456,1.584213539978518,1.584213539978518,0.0,57,0,169816,0,6875.0,52.0,2979.2280701754385,2845.387273721748,0.0,0.0,0.0,0.0,6875,52,2979.2280701754385,2845.387273721748,8096228.7374576805,1140,0,20,31,642499.9642857143,2946414.0,1566.0,1171288.4285048323,35979998.0,2946414.0,1566.0,642499.9642857143,1171288.4285048323,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,2979.2280701754385,512,0,614659.0,7682.0,145835.2,234675.96172629186,2922409.0,27730.0,612219.5,1054682.5128319818,17438.0,4.0,0.0,0.0,26154.59377737248,0.0,2979.2280701754385,0.0,0,57,0,169816,0
10.0.2.15,127.0.0.1,60234,9200,,,6,2022-11-28 16:10:21,36014111.0,1245.4562601864586,2.499020453399502,2.499020453399502,0.0,90,0,44854,0,2689.0,52.0,498.3777777777778,648.0115152916785,0.0,0.0,0.0,0.0,2689,52,498.3777777777778,648.0115152916785,419918.9239506173,1800,0,20,47,404652.93258426967,2498313.0,843.0,795116.0601979953,36014111.0,2498313.0,843.0,404652.93258426967,795116.0601979953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,498.3777777777778,512,0,1494120.0,524972.0,1019968.0,464502.6746343879,2497260.0,393576.0,1096364.1666666667,730374.4155437028,4058.875,4.375,0.0,0.0,7860.1112727033305,0.0,498.3777777777778,0.0,0,90,0,44854,0
10.0.2.15,127.0.0.1,52454,5044,,,6,2022-11-28 16:10:21,32020986.999999996,1149.6834872703955,1.1867216959926938,1.1867216959926938,0.0,38,0,36814,0,4683.0,52.0,968.7894736842105,1269.496712499521,0.0,0.0,0.0,0.0,4683,52,968.7894736842105,1269.496712499521,1611621.9030470913,760,0,20,19,865432.0810810811,6999832.0,1250.0,1377634.5411235213,32020987.0,6999832.0,1250.0,865432.0810810811,1377634.5411235213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,968.7894736842105,512,0,0.0,0.0,0.0,0.0,4001018.0,1003079.0,2249670.0,1089564.4367991735,0.0,0.0,0.0,0.0,0.0,0.0,968.7894736842105,0.0,0,38,0,36814,0
10.0.2.15,127.0.0.1,60158,9200,,,6,2022-11-28 16:10:21,27022038.0,103.76715479417209,0.2960546499120459,0.2960546499120459,0.0,8,0,2804,0,737.0,52.0,350.5,317.36138706528243,0.0,0.0,0.0,0.0,737,52,350.5,317.36138706528243,100718.25,160,0,20,4,3860291.1428571427,12012063.0,761.0,5249902.068672558,27022038.0,12012063.0,761.0,3860291.1428571427,5249902.068672558,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,350.5,512,0,0.0,0.0,0.0,0.0,9000630.0,3011433.0,6006031.5,2994598.5,0.0,0.0,0.0,0.0,0.0,0.0,350.5,0.0,0,8,0,2804,0
192.168.2.236,192.168.2.236,45352,8077,,,6,2022-11-28 16:10:21,36229718.0,18265.529971831413,81.94929919134341,40.32601081796994,41.623288373373484,1461,1508,245421,416334,469.0,52.0,167.98151950718685,171.54352321385772,458.0,52.0,276.08355437665784,170.72591051153427,469,52,222.88817783765577,179.4598111119183,32205.823804325395,29220,30160,20,748,12206.778301886792,100181.0,8.0,19359.40128429324,36229198.0,100181.0,18.0,24814.51917808219,21399.640409097377,36229217.0,107596.0,8.0,24040.621765096217,31476.370386723967,0,0,0,0,1,0,0,0,0,0,0,1.0321697467488022,222.88817783765577,6149,6148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.4,4.0,0.0,32252.48220813775,167.98151950718685,276.08355437665784,0,1461,1508,245421,416334
10.0.2.15,127.0.0.1,50960,9200,,,6,2022-11-28 16:10:21,24023241.0,2796.9165359495,1.1655379888167463,1.1655379888167463,0.0,28,0,67191,0,23592.0,52.0,2399.6785714285716,4769.863512973716,0.0,0.0,0.0,0.0,23592,52,2399.6785714285716,4769.863512973716,22751597.932397954,560,0,20,15,889749.6666666666,5993056.0,26.0,1545927.8601813985,24023241.0,5993056.0,26.0,889749.6666666666,1545927.8601813985,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,2399.6785714285716,12275,0,0.0,0.0,0.0,0.0,4972636.0,1020420.0,2997749.0,1613486.349531556,36339.0,4.0,0.0,0.0,36706.987550190664,0.0,2399.6785714285716,0.0,0,28,0,67191,0
10.0.2.15,127.0.0.1,57162,9200,,,6,2022-11-28 16:10:21,32022376.0,2610.768170356878,1.2491265482611285,1.2491265482611285,0.0,40,0,83603,0,22946.0,52.0,2090.075,4030.5554790096858,0.0,0.0,0.0,0.0,22946,52,2090.075,4030.5554790096858,16245377.469374996,800,0,20,21,821086.5641025641,7000602.0,25.0,1425156.9099680146,32022376.0,7000602.0,25.0,821086.5641025641,1425156.9099680146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,2090.075,10227,0,2999104.0,43752.0,1679441.6666666667,1227037.439672301,5998779.0,48760.0,2407785.4,2046152.834360972,35697.0,4.0,0.0,0.0,35896.65720738749,0.0,2090.075,0.0,0,40,0,83603,0
10.0.2.15,127.0.0.1,40660,9200,,,6,2022-11-28 16:10:21,36031089.0,634.1468058320413,0.5273223909496602,0.5273223909496602,0.0,19,0,22849,0,11428.0,52.0,1202.578947368421,2503.2806961600036,0.0,0.0,0.0,0.0,11428,52,1202.578947368421,2503.2806961600036,6266414.243767312,380,0,20,10,2001727.1666666667,13998484.0,27.0,3651796.087464576,36031089.0,13998484.0,27.0,2001727.1666666667,3651796.087464576,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1202.578947368421,9204,0,0.0,0.0,0.0,0.0,13998484.0,2001376.0,7002311.0,5096952.102214225,0.0,0.0,0.0,0.0,0.0,0.0,1202.578947368421,0.0,0,19,0,22849,0
10.0.2.15,127.0.0.1,57688,9200,,,6,2022-11-28 16:10:21,36029270.0,586.6896553829706,0.44408337998521763,0.44408337998521763,0.0,16,0,21138,0,7334.0,52.0,1321.125,2148.876766912193,0.0,0.0,0.0,0.0,7334,52,1321.125,2148.876766912193,4617671.359375,320,0,20,8,2401951.3333333335,13997487.0,1455.0,3895469.4734651544,36029270.0,13997487.0,1455.0,2401951.3333333335,3895469.4734651544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1321.125,9204,0,12001359.0,4417.0,6002888.0,5998471.0,13997487.0,6973.0,4203256.6,5190023.495270502,0.0,0.0,0.0,0.0,0.0,0.0,1321.125,0.0,0,16,0,21138,0
10.0.2.15,127.0.0.1,37378,9200,,,6,2022-11-28 16:10:21,36026252.0,1419.1040466824027,0.9715137727899089,0.9715137727899089,0.0,35,0,51125,0,16906.0,52.0,1460.7142857142858,2946.5344638980177,0.0,0.0,0.0,0.0,16906,52,1460.7142857142858,2946.5344638980177,8682065.34693878,700,0,20,18,1059595.6470588236,7001429.0,25.0,1607216.2429302828,36026252.0,7001429.0,25.0,1059595.6470588236,1607216.2429302828,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1460.7142857142858,512,0,2001383.9999999998,1318.0,1001614.6666666666,816523.6104564819,5002243.0,1004093.0,2500909.25,1500138.4616141897,0.0,0.0,0.0,0.0,0.0,0.0,1460.7142857142858,0.0,0,35,0,51125,0
10.0.2.15,127.0.0.1,37398,9200,,,6,2022-11-28 16:10:21,36026816.0,1390.3532302160702,0.8049559528102623,0.8049559528102623,0.0,29,0,50090,0,14210.0,52.0,1727.2413793103449,2903.802877027396,0.0,0.0,0.0,0.0,14210,52,1727.2413793103449,2903.802877027396,8432071.14863258,580,0,20,15,1286672.0,6003652.0,5.0,1867893.0426610543,36026816.0,6003652.0,5.0,1286672.0,1867893.0426610543,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1727.2413793103449,12786,0,4005879.0,1000948.0,2002823.6666666667,1416374.0377928268,5001246.0,1001372.0,2402424.6,1496384.8205445819,0.0,0.0,0.0,0.0,0.0,0.0,1727.2413793103449,0.0,0,29,0,50090,0
10.0.2.15,127.0.0.1,52544,9200,,,6,2022-11-28 16:10:21,35680040.0,59.92145748715529,1.036994353145344,1.036994353145344,0.0,37,0,2138,0,266.0,52.0,57.78378378378378,34.702702702702695,0.0,0.0,0.0,0.0,266,52,57.78378378378378,34.702702702702695,1204.277574872169,740,0,20,1,991112.2222222222,1027952.0,247854.0,142538.19989452948,35680040.0,1027952.0,247854.0,991112.2222222222,142538.19989452948,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,57.78378378378378,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.78378378378378,0.0,0,37,0,2138,0
10.0.2.15,127.0.0.1,40996,9200,,,6,2022-11-28 16:10:21,13312029.0,54.68738086432955,1.0516804012371066,1.0516804012371066,0.0,14,0,728,0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52,52,52.0,0.0,0.0,280,0,20,0,1024002.2307692308,1024090.0,1023938.0,35.854736509665145,13312029.0,1024090.0,1023938.0,1024002.2307692308,35.854736509647104,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,52.0,2684,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0,14,0,728,0
